編號,機關構名稱,熱點名稱,熱點類別,縣市名稱,鄉鎮市區,地址,緯度,經度,cos緯度,sin緯度,cos經度,sin經度
116,新竹市政府,新竹客運轉運站(右側),大眾運輸節點,新竹市,東區,300新竹市東區東南街1巷6號,24.801069,120.972433,0.907769652,0.419469019,-0.514625602,0.857415004
117,新竹市政府,新竹客運轉運站二樓,大眾運輸節點,新竹市,東區,300新竹市東區東南街1巷6號,24.801015,120.972548,0.907770048,0.419468164,-0.514627323,0.857413971
118,新竹市香山戶政事務所,新竹市香山戶政事務所,洽公場所,新竹市,香山區,300新竹市香山區育德街188號2樓,24.794358,120.942555,0.907818778,0.41936269,-0.514178416,0.857683249
119,新竹市香山區公所,新竹市香山區公所,洽公場所,新竹市,香山區,300新竹市香山區育德街188號3樓,24.794358,120.942555,0.907818778,0.41936269,-0.514178416,0.857683249
120,新竹市政府,新竹市天鵝湖(南寮舊漁港),旅遊景點,新竹市,北區,300新竹市北區新港一路,24.85015,120.9286,0.907409992,0.420246484,-0.513969503,0.857808457
121,新竹市政府,新竹市南寮旅遊服務中心前廣場,旅遊景點,新竹市,北區,300新竹市北區南寮街261號,24.84911,120.929,0.90741762,0.420230013,-0.513975492,0.857804869
122,新竹市政府,新竹市政府都發處四合一櫃檯,洽公場所,新竹市,北區,300新竹市北區中正路146號,24.808713,120.967239,0.907713682,0.419590124,-0.514547873,0.857461653
123,新竹市政府,新竹市政府服務中心,洽公場所,新竹市,北區,300新竹市北區中正路120號,24.806854,120.969426,0.907727295,0.419560672,-0.514580603,0.857442012
124,新竹市立動物園,新竹公園(動物園辦公室)左側,旅遊景點,新竹市,東區,300新竹市東區公園路279號,24.80084,120.9795,0.907771329,0.419465391,-0.514731354,0.857351523
125,新竹市立動物園,新竹公園(動物園辦公室)右側,旅遊景點,新竹市,東區,300新竹市東區公園路279號,24.80084,120.9795,0.907771329,0.419465391,-0.514731354,0.857351523
126,新竹市政府,新竹公園玻工館右側(玻璃工坊1F),文教館所,新竹市,東區,300新竹市東區東大路一段2號,24.80121,120.9781,0.90776862,0.419471253,-0.514710405,0.8573641
127,新竹市文化局,新竹公園(動物園圖書館分館),文教館所,新竹市,東區,300新竹市博愛街111號B1樓動物園圖書館分館,24.800954,120.979487,0.907770494,0.419467197,-0.514731159,0.857351639
128,新竹市政府,新竹公園(氣象站),文教館所,新竹市,東區,300新竹市公園路273號氣象站,24.80031,120.977349,0.907775209,0.419456994,-0.514699167,0.857370846
129,新竹市政府,新竹公園(昆蟲館)室內,文教館所,新竹市,東區,300新竹市公園路277號昆蟲館室內,24.80055,120.977891,0.907773452,0.419460796,-0.514707277,0.857365977
